PROGROGRAMMA:,LOTTO:,PEZZI FATTI:,COLLAUDATO:,MONTATO:,DATA:,ORA:,SCARTI_CH:,RODAGGIO/SCAMBIO AP  ,RODAGGIO/SCAMBIO BP  ,SCAMBIO SPOLA AP B BP ,SCAMBIO SPOLA BP B AP ,TENUTA AP B12(BP) 1-2-4-5,TENUTA AP B14(BP) 1-4-2-3,TENUTA BP B12(AP) 1-2-4-5,TENUTA BP B14(AP) 1-4-2-3,TENUTA AP  1,TENUTA BP  1,TENUTA AP PN12 1-2-4-5,TENUTA BP PN12 1-2-4-5,TENUTA AP PN14 1-4-2-3,TENUTA BP PN14 1-4-2-3,TENUTA AP PN10 1 2-3,TENUTA BP PN10 1 2-3,TENUTA AP M 1-2-4-5,TENUTA BP M 1-2-4-5,TENUTA AP M 1-4-2-3,TENUTA BP M 1-4-2-3,TENUTA AP B (AP)SP 12 1-2,TENUTA BP B (BP)SP 12 1-2,TENUTA AP PN DX 1-2,TENUTA AP PN SX 1-2,TENUTA AZ AP  1-2,TENUTA AZ AP  1-4,TENUTA AZ BP  1-2,TENUTA AZ BP  1-4,TENUTA CENTRI APERTI AP  1 2-4,TENUTA CENTRI APERTI BP  1 2-4,TENUTA CENTRI CHIUSI AP  2-4,TENUTA CENTRI CHIUSI AP  1 2-4,TENUTA CENTRI CHIUSI BP  2-4,TENUTA CENTRI CHIUSI BP  1 2-4,TENUTA CP AP  1 2-4,TENUTA CP BP  1 2-4,TENUTA INTERVENTO AZ AP  1-2,TENUTA INTERVENTO AZ AP  1-4,TENUTA INTERVENTO AZ AP SPOLA BP 12  1-2/4-5,TENUTA INTERVENTO AZ AP SPOLA BP 14  1-4/2-3,TENUTA OR INTERNO AP  2-3 4-5,VUOTO   ,PORTATA   ,ALTRO-VIBRAZIONE RELIEVING NO RELIEVING SCIVOLAMEN,ALTRO AP CURVA DERIVATA ISTERESI   ,SPECIALE PULSANTI   ,,,,
FP1V-CQR,9053719,0,,,2018/06/06,17:07:56,9053719_20180606_CH_01,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP1V-CQR,9053719,0,,,2018/06/06,17:18:45,9053719_20180606_CH_01,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP1V-M,9053719,0,,,2018/06/06,17:18:49,9053719_20180606_CH_02,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP1V-CRR,9053719,0,,,2018/06/06,17:19:03,9053719_20180606_CH_02,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP1V-ARR,9053719,0,,,2018/06/06,17:19:07,9053719_20180606_CH_01,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,


